Command,Iteration,Status,RetransmissionRequests,TotalPacketsRetransmitted,Duration_ms
1KB File,1,COMPLETED,0,0,387.5916
1KB File,2,COMPLETED,0,0,387.8747
1KB File,3,COMPLETED,0,0,379.0981
1KB File,4,COMPLETED,0,0,392.6837
1KB File,5,COMPLETED,0,0,379.4724
1KB File,6,COMPLETED,0,0,381.6904
1KB File,7,COMPLETED,0,0,390.3804
1KB File,8,COMPLETED,0,0,385.2385
1KB File,9,COMPLETED,0,0,388.9035
1KB File,10,COMPLETED,0,0,396.1422
1KB File,11,COMPLETED,0,0,386.8236
1KB File,12,COMPLETED,0,0,396.3853
1KB File,13,COMPLETED,0,0,385.0639
1KB File,14,COMPLETED,0,0,381.9926
1KB File,15,COMPLETED,0,0,390.6302
1KB File,16,COMPLETED,0,0,387.0104
1KB File,17,COMPLETED,0,0,390.9432
1KB File,18,COMPLETED,0,0,379.0916
1KB File,19,COMPLETED,0,0,458.8428
1KB File,20,COMPLETED,0,0,473.5412
1KB File,21,COMPLETED,0,0,441.3429
1KB File,22,COMPLETED,0,0,417.3904
1KB File,23,COMPLETED,0,0,412.8167
1KB File,24,COMPLETED,0,0,387.1244
1KB File,25,COMPLETED,0,0,390.2699
1KB File,26,COMPLETED,0,0,398.3969
1KB File,27,COMPLETED,0,0,395.0030
1KB File,28,COMPLETED,0,0,386.8773
1KB File,29,COMPLETED,0,0,387.0993
1KB File,30,COMPLETED,0,0,380.2700
1KB File,31,COMPLETED,0,0,395.2686
1KB File,32,COMPLETED,0,0,398.6446
1KB File,33,COMPLETED,0,0,384.4109
1KB File,34,COMPLETED,0,0,385.2823
1KB File,35,COMPLETED,0,0,386.2978
1KB File,36,COMPLETED,0,0,447.4992
1KB File,37,COMPLETED,0,0,506.0192
1KB File,38,COMPLETED,0,0,471.7872
1KB File,39,COMPLETED,0,0,481.0740
1KB File,40,COMPLETED,0,0,450.0293
1KB File,41,COMPLETED,0,0,486.2980
1KB File,42,COMPLETED,0,0,454.4063
1KB File,43,COMPLETED,0,0,498.1667
1KB File,44,COMPLETED,0,0,477.7343
1KB File,45,COMPLETED,0,0,500.0871
1KB File,46,COMPLETED,0,0,465.2765
1KB File,47,COMPLETED,0,0,473.7408
1KB File,48,COMPLETED,0,0,473.2312
1KB File,49,COMPLETED,0,0,440.5654
1KB File,50,COMPLETED,0,0,465.2414
1KB File,51,COMPLETED,0,0,486.2055
1KB File,52,COMPLETED,0,0,463.4391
1KB File,53,COMPLETED,0,0,464.6513
1KB File,54,COMPLETED,0,0,424.2943
1KB File,55,COMPLETED,0,0,466.1651
1KB File,56,COMPLETED,0,0,469.7622
1KB File,57,COMPLETED,0,0,493.9207
1KB File,58,COMPLETED,0,0,458.4682
1KB File,59,COMPLETED,0,0,467.1157
1KB File,60,COMPLETED,0,0,429.3770
1KB File,61,COMPLETED,0,0,482.4839
1KB File,62,COMPLETED,0,0,454.7765
1KB File,63,COMPLETED,0,0,520.6078
1KB File,64,COMPLETED,0,0,499.3155
1KB File,65,COMPLETED,0,0,395.0300
1KB File,66,COMPLETED,0,0,470.9906
1KB File,67,COMPLETED,0,0,468.3393
1KB File,68,COMPLETED,0,0,469.1335
1KB File,69,COMPLETED,0,0,500.9226
1KB File,70,COMPLETED,0,0,484.4155
1KB File,71,COMPLETED,0,0,494.3498
1KB File,72,COMPLETED,0,0,465.4025
1KB File,73,COMPLETED,0,0,436.3015
1KB File,74,COMPLETED,0,0,470.4034
1KB File,75,COMPLETED,0,0,457.0203
1KB File,76,COMPLETED,0,0,495.8355
1KB File,77,COMPLETED,0,0,527.2802
1KB File,78,COMPLETED,0,0,526.6269
1KB File,79,COMPLETED,0,0,479.5101
1KB File,80,COMPLETED,0,0,447.8900
1KB File,81,COMPLETED,0,0,423.2047
1KB File,82,COMPLETED,0,0,446.5560
1KB File,83,COMPLETED,0,0,450.5133
1KB File,84,COMPLETED,0,0,416.1281
1KB File,85,COMPLETED,0,0,396.0561
1KB File,86,COMPLETED,0,0,445.4286
1KB File,87,COMPLETED,0,0,470.1570
1KB File,88,COMPLETED,0,0,452.5835
1KB File,89,COMPLETED,0,0,425.2636
1KB File,90,COMPLETED,0,0,506.7431
1KB File,91,COMPLETED,0,0,506.0358
1KB File,92,COMPLETED,0,0,440.2264
1KB File,93,COMPLETED,0,0,399.1940
1KB File,94,COMPLETED,0,0,392.8843
1KB File,95,COMPLETED,0,0,403.2270
1KB File,96,COMPLETED,0,0,379.8230
1KB File,97,COMPLETED,0,0,398.7777
1KB File,98,COMPLETED,0,0,402.2814
1KB File,99,COMPLETED,0,0,395.3550
1KB File,100,COMPLETED,0,0,382.0100
1KB File,101,COMPLETED,0,0,391.3371
1KB File,102,COMPLETED,0,0,387.0815
1KB File,103,COMPLETED,0,0,399.1163
1KB File,104,COMPLETED,0,0,391.5591
1KB File,105,COMPLETED,0,0,384.9963
1KB File,106,COMPLETED,0,0,390.5329
1KB File,107,COMPLETED,0,0,401.0739
1KB File,108,COMPLETED,0,0,394.5663
1KB File,109,COMPLETED,0,0,387.8044
1KB File,110,COMPLETED,0,0,394.0684
1KB File,111,COMPLETED,0,0,391.2552
1KB File,112,COMPLETED,0,0,378.6663
1KB File,113,COMPLETED,0,0,392.1976
1KB File,114,COMPLETED,0,0,395.0674
1KB File,115,COMPLETED,0,0,469.4112
1KB File,116,COMPLETED,0,0,444.1633
1KB File,117,COMPLETED,0,0,391.5048
